Rainfall (mm),Temperature (°C),Humidity (%),Wind Speed (km/h),Flood Occurred
23.463404498842955,24.440599409765397,74.78353277034076,10.837123876600414,0
61.562503085229515,35.05257642403263,62.95788421097572,11.627680130757895,0
10.033949437483168,27.14309917122929,56.13875743379343,2.162352961919196,0
17.211149627697075,34.75184841198452,54.80753319498364,10.942741997785822,0
17.275775600120113,26.483280991462962,37.90569015885641,8.111575117227247,0
36.10145775165638,32.98860233456304,61.834259132122256,10.332767769129598,0
46.7666510324805,26.99873074947044,84.21159731569958,10.873102003786547,0
29.004542129269918,26.8222012986268,69.79754162893099,6.826867213132299,0
1.7496860721739542,28.852747730840218,75.84023369884184,6.204642658232074,0
36.70554479546143,35.459961321788356,50.07720926652354,10.59058370760737,0
174.64035663681133,31.093191580269313,83.22641558422916,6.972743971404677,0
15.828022160441286,22.083528932315563,63.09041843560319,13.171366678656748,0
16.49014200671246,24.347238476592167,72.01643323942032,11.746368384139117,0
65.28314543939995,34.43874229796678,57.41173715166042,9.072362872446357,0
99.42647858291113,22.459233552262585,86.4947046367723,9.466803636188034,0
19.665710659206567,27.948083456568497,82.18788733591298,14.068720085712469,0
109.11259562007574,24.810850617422588,68.86294382457721,12.918890601267362,0
41.19437474429144,33.977977319479706,69.46260941335073,14.693930967442018,0
36.98394193886335,28.006808049923993,69.0870386878788,5.743748624225791,0
35.52185885670951,35.212458086697104,66.70492168243732,11.07133771453524,0
26.41409874413363,26.0537083565104,81.1556692565684,9.363515734865121,0
8.790417925003142,27.865656029801386,83.73103176553111,10.986253328979053,0
81.39844703702782,36.859310667748886,72.63329940932249,9.072134360666267,0
5.829608006192542,33.365627513869875,64.11837770301764,5.609455155603644,0
85.19148633194725,16.72411976218265,75.1827691583315,8.81345064525912,0
20.595428993121622,28.55431571765029,67.58071432500986,11.212152570443616,0
36.5726402880076,25.28471595766369,91.0593810798894,9.94434758646508,0
17.89652300395234,21.632476890048885,70.90345314911539,17.38972633745586,0
2.642554369019624,32.388770497167634,66.11457032891664,8.275872377159802,0
